INFO 2020-02-09 09:05:50,010 - Initialize Main Page
DEBUG 2020-02-09 09:05:50,063 - uiname is MainWindow
DEBUG 2020-02-09 09:05:50,063 - toplevel widget is MainPage
DEBUG 2020-02-09 09:05:50,063 - setting property geometry
DEBUG 2020-02-09 09:05:50,063 - setting property windowTitle
DEBUG 2020-02-09 09:05:50,063 - push MainPage MainWindow
DEBUG 2020-02-09 09:05:50,063 - push QWidget centralwidget
DEBUG 2020-02-09 09:05:50,064 - setting property geometry
DEBUG 2020-02-09 09:05:50,064 - setting property currentIndex
DEBUG 2020-02-09 09:05:50,064 - push QTabWidget tabWidget
DEBUG 2020-02-09 09:05:50,064 - push QWidget main
DEBUG 2020-02-09 09:05:50,120 - setting property geometry
DEBUG 2020-02-09 09:05:50,120 - setting property html
DEBUG 2020-02-09 09:05:50,121 - push QTextEdit inputText
DEBUG 2020-02-09 09:05:50,122 - pop widget QTextEdit inputText
DEBUG 2020-02-09 09:05:50,122 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E48F0>
DEBUG 2020-02-09 09:05:50,122 - setting property geometry
DEBUG 2020-02-09 09:05:50,122 - push QLineEdit fireLine
DEBUG 2020-02-09 09:05:50,122 - pop widget QLineEdit fireLine
DEBUG 2020-02-09 09:05:50,122 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E48F0>
DEBUG 2020-02-09 09:05:50,122 - setting property geometry
DEBUG 2020-02-09 09:05:50,123 - setting property text
DEBUG 2020-02-09 09:05:50,123 - push QPushButton fireButton
DEBUG 2020-02-09 09:05:50,123 - pop widget QPushButton fireButton
DEBUG 2020-02-09 09:05:50,123 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E48F0>
DEBUG 2020-02-09 09:05:50,123 - setting property geometry
DEBUG 2020-02-09 09:05:50,123 - setting property text
DEBUG 2020-02-09 09:05:50,123 - push QPushButton highlightButton
DEBUG 2020-02-09 09:05:50,123 - pop widget QPushButton highlightButton
DEBUG 2020-02-09 09:05:50,123 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E48F0>
DEBUG 2020-02-09 09:05:50,123 - setting property geometry
DEBUG 2020-02-09 09:05:50,123 - setting property text
DEBUG 2020-02-09 09:05:50,124 - push QPushButton underlineButton
DEBUG 2020-02-09 09:05:50,124 - pop widget QPushButton underlineButton
